analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
TiO2,Titanium oxide,Titanium oxide,NULL,79.866,wtpct,ti,element,TRUE,TRUE,0.599508,Ti (wt%),NULL,212,NULL
Titanite,Titanite,Titanite,NULL,NULL,wtpct,titanite,mineralogy_composition,FALSE,FALSE,NULL,Titanite (wt%),NULL,NULL,NULL
Tl,Thallium,Thallium,81,204.383,ppm,tl,element,TRUE,TRUE,NULL,Tl (ppm),NULL,213,NULL
Tl-auth,Authigenic thallium,Authigenic thallium,NULL,NULL,ppm,tl_auth,element,FALSE,TRUE,NULL,Tl-auth (ppm),NULL,214,NULL
Tl-carb,Tl from the carbonate fraction,"Thallium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,tl_carb,carbonate_proxy,FALSE,TRUE,NULL,Tl-carb (ppm),NULL,91,NULL
Tl-det,Detrital thallium,Detrital thallium,NULL,NULL,ppm,tl_det,NULL,FALSE,FALSE,NULL,Tl-det (ppm),NULL,NULL,NULL
Tm,Thulium,Thulium,69,168.934,ppm,tm,element,TRUE,TRUE,NULL,Tm (ppm),NULL,215,NULL
Tm-auth,Tm from authigenic fraction,Authigenic thulium after light leach on shale,NULL,NULL,ppm,tm_auth,authigenic_proxy,FALSE,FALSE,NULL,Tm-auth (ppm),NULL,NULL,NULL
Tm-carb,Tm from the carbonate fraction,"Thulium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,tm_carb,carbonate_proxy,FALSE,TRUE,NULL,Tm-carb (ppm),NULL,92,NULL
Tmax,Tmax,Rock-Eval Pyrolysis Tmax: temperature at which maximum amount of S2 hydrocarbons is generated,NULL,NULL,degC,tmax,carbon,TRUE,TRUE,NULL,Tmax (degC),NULL,29,NULL
Topaz,Topaz,Topaz,NULL,NULL,wtpct,topaz,mineralogy_composition,FALSE,FALSE,NULL,Topaz (wt%),NULL,NULL,NULL
Total_Carbonate,Total carbonate,Total carbonate (XRD),NULL,NULL,wtpct,total_carbonate,mineralogy_composition,FALSE,TRUE,NULL,Total_Carbonate (wt%),NULL,294,NULL
Total_Clay,Total clay,Total clay (XRD),NULL,NULL,wtpct,total_clay,mineralogy_composition,FALSE,TRUE,NULL,Total_Clay (wt%),NULL,295,NULL
Total_NonClay,Total non clay,Total Non Clay (XRD),NULL,NULL,wtpct,total_nonclay,mineralogy_composition,FALSE,TRUE,NULL,Total_NonClay (wt%),NULL,296,NULL
Tpeak,Tpeak,Rock-Eval Pyrolysis Tpeak,NULL,NULL,degC,tpeak,carbon,FALSE,FALSE,NULL,Tpeak (degC),NULL,NULL,NULL
TpkS2,Tpeak S2,Rock eval,NULL,NULL,degC,NULL,carbon,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
